Time (s),Temperature (c),Pressure (Pa)
6.000000000000000000e+00,2.400000000000000000e+01,9.999300000000000000e+04
6.000000000000000000e+00,2.410000000000000142e+01,9.999600000000000000e+04
6.000000000000000000e+00,2.400000000000000000e+01,9.999900000000000000e+04
6.000000000000000000e+00,2.400000000000000000e+01,9.999300000000000000e+04
6.000000000000000000e+00,2.400000000000000000e+01,9.999400000000000000e+04
6.000000000000000000e+00,2.410000000000000142e+01,9.999500000000000000e+04
6.000000000000000000e+00,2.410000000000000142e+01,9.999200000000000000e+04
6.000000000000000000e+00,2.400000000000000000e+01,9.999000000000000000e+04
6.000000000000000000e+00,2.410000000000000142e+01,9.998500000000000000e+04
6.000000000000000000e+00,2.400000000000000000e+01,9.998700000000000000e+04
6.000000000000000000e+00,2.410000000000000142e+01,9.999400000000000000e+04
7.000000000000000000e+00,2.400000000000000000e+01,9.999300000000000000e+04
7.000000000000000000e+00,2.410000000000000142e+01,9.999400000000000000e+04
7.000000000000000000e+00,2.410000000000000142e+01,9.999000000000000000e+04
7.000000000000000000e+00,2.410000000000000142e+01,9.998800000000000000e+04
7.000000000000000000e+00,2.410000000000000142e+01,9.999100000000000000e+04
7.000000000000000000e+00,2.410000000000000142e+01,9.999700000000000000e+04
7.000000000000000000e+00,2.410000000000000142e+01,9.999400000000000000e+04
7.000000000000000000e+00,2.410000000000000142e+01,9.998800000000000000e+04
7.000000000000000000e+00,2.400000000000000000e+01,9.999100000000000000e+04
7.000000000000000000e+00,2.410000000000000142e+01,9.999700000000000000e+04
7.000000000000000000e+00,2.410000000000000142e+01,9.999500000000000000e+04
8.000000000000000000e+00,2.400000000000000000e+01,9.999300000000000000e+04
8.000000000000000000e+00,2.410000000000000142e+01,9.999400000000000000e+04
8.000000000000000000e+00,2.410000000000000142e+01,9.998500000000000000e+04
8.000000000000000000e+00,2.410000000000000142e+01,9.999300000000000000e+04
8.000000000000000000e+00,2.410000000000000142e+01,9.999200000000000000e+04
8.000000000000000000e+00,2.410000000000000142e+01,9.999400000000000000e+04
8.000000000000000000e+00,2.410000000000000142e+01,9.999300000000000000e+04
8.000000000000000000e+00,2.410000000000000142e+01,9.999400000000000000e+04
8.000000000000000000e+00,2.410000000000000142e+01,9.999100000000000000e+04
8.000000000000000000e+00,2.410000000000000142e+01,9.999500000000000000e+04
8.000000000000000000e+00,2.410000000000000142e+01,9.999400000000000000e+04
8.000000000000000000e+00,2.410000000000000142e+01,9.999700000000000000e+04
9.000000000000000000e+00,2.410000000000000142e+01,9.999200000000000000e+04
9.000000000000000000e+00,2.410000000000000142e+01,9.999000000000000000e+04
9.000000000000000000e+00,2.400000000000000000e+01,9.998800000000000000e+04
9.000000000000000000e+00,2.410000000000000142e+01,9.999100000000000000e+04
9.000000000000000000e+00,2.410000000000000142e+01,9.998800000000000000e+04
9.000000000000000000e+00,2.410000000000000142e+01,9.999500000000000000e+04
9.000000000000000000e+00,2.410000000000000142e+01,9.999200000000000000e+04
9.000000000000000000e+00,2.410000000000000142e+01,9.999800000000000000e+04
9.000000000000000000e+00,2.410000000000000142e+01,9.999300000000000000e+04
9.000000000000000000e+00,2.410000000000000142e+01,9.999500000000000000e+04
9.000000000000000000e+00,2.410000000000000142e+01,9.998700000000000000e+04
1.000000000000000000e+01,2.410000000000000142e+01,9.999100000000000000e+04
1.000000000000000000e+01,2.410000000000000142e+01,9.998900000000000000e+04
1.000000000000000000e+01,2.410000000000000142e+01,9.999300000000000000e+04
1.000000000000000000e+01,2.410000000000000142e+01,1.000000000000000000e+05
1.000000000000000000e+01,2.410000000000000142e+01,9.999800000000000000e+04
1.000000000000000000e+01,2.410000000000000142e+01,1.000020000000000000e+05
1.000000000000000000e+01,2.410000000000000142e+01,9.999800000000000000e+04
1.000000000000000000e+01,2.410000000000000142e+01,9.998900000000000000e+04
1.000000000000000000e+01,2.410000000000000142e+01,9.998900000000000000e+04
1.000000000000000000e+01,2.410000000000000142e+01,9.998700000000000000e+04
1.000000000000000000e+01,2.410000000000000142e+01,9.998900000000000000e+04
1.100000000000000000e+01,2.410000000000000142e+01,9.998900000000000000e+04
1.100000000000000000e+01,2.410000000000000142e+01,9.999000000000000000e+04
1.100000000000000000e+01,2.410000000000000142e+01,9.999000000000000000e+04
1.100000000000000000e+01,2.410000000000000142e+01,9.999100000000000000e+04
1.100000000000000000e+01,2.400000000000000000e+01,9.998700000000000000e+04
1.100000000000000000e+01,2.400000000000000000e+01,9.998800000000000000e+04
1.100000000000000000e+01,2.410000000000000142e+01,9.998900000000000000e+04
1.100000000000000000e+01,2.410000000000000142e+01,9.999000000000000000e+04
1.100000000000000000e+01,2.400000000000000000e+01,9.999400000000000000e+04
1.100000000000000000e+01,2.410000000000000142e+01,9.998600000000000000e+04
1.100000000000000000e+01,2.410000000000000142e+01,9.999100000000000000e+04
1.200000000000000000e+01,2.410000000000000142e+01,9.999300000000000000e+04
1.200000000000000000e+01,2.410000000000000142e+01,9.999000000000000000e+04
1.200000000000000000e+01,2.410000000000000142e+01,9.998600000000000000e+04
1.200000000000000000e+01,2.410000000000000142e+01,9.998700000000000000e+04
1.200000000000000000e+01,2.400000000000000000e+01,9.997600000000000000e+04
1.200000000000000000e+01,2.410000000000000142e+01,9.998400000000000000e+04
1.200000000000000000e+01,2.410000000000000142e+01,9.998600000000000000e+04
1.200000000000000000e+01,2.410000000000000142e+01,9.998700000000000000e+04
1.200000000000000000e+01,2.410000000000000142e+01,9.999500000000000000e+04
1.200000000000000000e+01,2.410000000000000142e+01,9.998600000000000000e+04
1.200000000000000000e+01,2.410000000000000142e+01,9.999300000000000000e+04
1.300000000000000000e+01,2.410000000000000142e+01,9.999900000000000000e+04
1.300000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
1.300000000000000000e+01,2.410000000000000142e+01,9.999500000000000000e+04
1.300000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
1.300000000000000000e+01,2.410000000000000142e+01,9.999700000000000000e+04
1.300000000000000000e+01,2.410000000000000142e+01,9.999700000000000000e+04
1.300000000000000000e+01,2.410000000000000142e+01,9.999600000000000000e+04
1.300000000000000000e+01,2.410000000000000142e+01,9.999900000000000000e+04
1.300000000000000000e+01,2.410000000000000142e+01,9.999800000000000000e+04
1.300000000000000000e+01,2.410000000000000142e+01,9.998400000000000000e+04
1.300000000000000000e+01,2.410000000000000142e+01,9.999900000000000000e+04
1.300000000000000000e+01,2.410000000000000142e+01,9.999000000000000000e+04
1.400000000000000000e+01,2.410000000000000142e+01,9.998900000000000000e+04
1.400000000000000000e+01,2.410000000000000142e+01,9.999200000000000000e+04
1.400000000000000000e+01,2.410000000000000142e+01,9.999300000000000000e+04
1.400000000000000000e+01,2.410000000000000142e+01,9.998800000000000000e+04
1.400000000000000000e+01,2.410000000000000142e+01,9.999100000000000000e+04
1.400000000000000000e+01,2.400000000000000000e+01,9.999500000000000000e+04
1.400000000000000000e+01,2.410000000000000142e+01,1.000020000000000000e+05
1.400000000000000000e+01,2.410000000000000142e+01,9.999600000000000000e+04
1.400000000000000000e+01,2.410000000000000142e+01,9.999700000000000000e+04
1.400000000000000000e+01,2.410000000000000142e+01,9.999900000000000000e+04
1.400000000000000000e+01,2.410000000000000142e+01,9.999600000000000000e+04
1.500000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
1.500000000000000000e+01,2.410000000000000142e+01,9.999600000000000000e+04
1.500000000000000000e+01,2.410000000000000142e+01,9.999700000000000000e+04
1.500000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
1.500000000000000000e+01,2.410000000000000142e+01,1.000000000000000000e+05
1.500000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
1.500000000000000000e+01,2.410000000000000142e+01,9.999900000000000000e+04
1.500000000000000000e+01,2.410000000000000142e+01,9.999800000000000000e+04
1.500000000000000000e+01,2.410000000000000142e+01,1.000010000000000000e+05
1.500000000000000000e+01,2.410000000000000142e+01,9.999700000000000000e+04
1.500000000000000000e+01,2.410000000000000142e+01,9.999900000000000000e+04
1.600000000000000000e+01,2.410000000000000142e+01,9.999300000000000000e+04
1.600000000000000000e+01,2.410000000000000142e+01,9.999800000000000000e+04
1.600000000000000000e+01,2.410000000000000142e+01,9.999800000000000000e+04
1.600000000000000000e+01,2.410000000000000142e+01,9.999100000000000000e+04
1.600000000000000000e+01,2.410000000000000142e+01,9.999200000000000000e+04
1.600000000000000000e+01,2.410000000000000142e+01,9.999900000000000000e+04
1.600000000000000000e+01,2.410000000000000142e+01,9.999700000000000000e+04
1.600000000000000000e+01,2.410000000000000142e+01,1.000020000000000000e+05
1.600000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
1.600000000000000000e+01,2.410000000000000142e+01,9.999700000000000000e+04
1.600000000000000000e+01,2.410000000000000142e+01,9.999500000000000000e+04
1.700000000000000000e+01,2.410000000000000142e+01,9.999100000000000000e+04
1.700000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
1.700000000000000000e+01,2.410000000000000142e+01,9.999200000000000000e+04
1.700000000000000000e+01,2.410000000000000142e+01,9.999100000000000000e+04
1.700000000000000000e+01,2.410000000000000142e+01,9.999500000000000000e+04
1.700000000000000000e+01,2.410000000000000142e+01,9.999800000000000000e+04
1.700000000000000000e+01,2.410000000000000142e+01,1.000000000000000000e+05
1.700000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
1.700000000000000000e+01,2.410000000000000142e+01,9.999700000000000000e+04
1.700000000000000000e+01,2.410000000000000142e+01,9.999100000000000000e+04
1.700000000000000000e+01,2.410000000000000142e+01,9.999600000000000000e+04
1.700000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
1.800000000000000000e+01,2.410000000000000142e+01,9.999000000000000000e+04
1.800000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
1.800000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
1.800000000000000000e+01,2.410000000000000142e+01,9.998700000000000000e+04
1.800000000000000000e+01,2.410000000000000142e+01,9.998900000000000000e+04
1.800000000000000000e+01,2.410000000000000142e+01,9.998800000000000000e+04
1.800000000000000000e+01,2.410000000000000142e+01,9.998800000000000000e+04
1.800000000000000000e+01,2.410000000000000142e+01,9.999300000000000000e+04
1.800000000000000000e+01,2.410000000000000142e+01,9.999200000000000000e+04
1.800000000000000000e+01,2.410000000000000142e+01,9.999300000000000000e+04
1.800000000000000000e+01,2.410000000000000142e+01,9.999000000000000000e+04
1.900000000000000000e+01,2.410000000000000142e+01,9.999100000000000000e+04
1.900000000000000000e+01,2.410000000000000142e+01,9.999300000000000000e+04
1.900000000000000000e+01,2.410000000000000142e+01,9.999200000000000000e+04
1.900000000000000000e+01,2.410000000000000142e+01,1.000000000000000000e+05
1.900000000000000000e+01,2.410000000000000142e+01,9.999300000000000000e+04
